一级需求维度,二级需求维度,维度定义,评估标准/方法（0 到 5分，0分代表没有，5分代表做到业内顶尖水平
挑战,挑战难度梯度,从新手教程到高难度内容的难度曲线设计是否合理,难度曲线平滑度、学习曲线、挫败感控制
挑战,挑战类型多样性,游戏提供的挑战类型（操作/策略/解谜/反应）的丰富程度,挑战类型数量、机制组合、玩法层次
挑战,失败惩罚机制,玩家失败后的惩罚程度（轻度/中度/重度/永久死亡）,重玩成本、进度保留、资源损失
挑战,挑战目标,游戏提供了明确的短中长期的追求目标,目标设计数量类型、目标设计合理性
操作,操作响应速度,输入指令到游戏反馈的延迟时间,帧数稳定性、输入延迟ms数
操作,操作精细化程度,游戏对操作精确度的要求（粗放/精准/极致）,容错率、判定框、连招复杂度
操作,操作反馈质量,操作后的视觉/听觉/触觉反馈清晰度,打击感、震动反馈、音效配合
操作,操作学习曲线,掌握基本操作和高级技巧所需时间,教程完整性、上手难度、深度技巧
策略,策略深度,游戏机制允许的策略组合与变化空间,有效策略数量、策略层次、思考空间
策略,策略类型,策略的表现形式（资源管理/阵容搭配/路线规划等）,策略维度数量、机制耦合度
策略,策略容错性,策略失误后的可挽回程度,试错成本、策略调整窗口期
策略,策略趣味延续性,策略趣味随版本/玩家发现的变化潜力,平衡性设计、策略寿命、更新频率
成长,成长系统类型,成长机制的表现形式（等级/技能树/装备/符文等）,系统复杂度、自由度、深度
成长,成长可感知性,成长带来的能力提升是否能被玩家明显感知,数值跃升幅度、技能解锁频率、外观变化
成长,成长获取节奏,玩家获得成长的频率（每分钟/每局/每天）,奖励间隔、成就感密度
成长,成长上限设计,成长系统是否有封顶（有限/无限/赛季重置）,长期目标、肝度需求、数值膨胀控制
画音,画面风格统一性,美术风格是否一致（写实/卡通/像素/水墨等）,风格定位、资源复用、视觉识别度
画音,画面信息层次,UI与游戏画面的信息分级是否清晰,视觉聚焦、信息噪音、可读性
画音,音乐适配性,BGM与游戏场景/节奏的契合度,情绪渲染、动态音乐、文化符号
画音,音效功能性,音效在游戏反馈中的作用（提示/氛围/沉浸）,音效与交互反馈、音效识别度
幻想,世界观沉浸感,游戏世界构建的完整性与代入感,设定自洽性、环境叙事（世界观与关卡、系统的融入度）
幻想,角色代入方式,玩家如何与游戏角色建立连接（自定义/预设/无主角）,自由度、个性化、情感投射
幻想,幻想类型定位,游戏满足的幻想需求（力量/探险/社交/创造）,明确的幻想类型方向
幻想,虚拟现实感,游戏世界的真实感与可信度,物理模拟、AI行为、交互细节
竞争,竞争模式类型,竞争的表现形式（PVP/排行榜/异步竞技）,模式多样性、公平性设计
竞争,竞争驱动强度,游戏对竞争的激励程度（核心/可选/无）,奖励差异、排名可见性、赛季机制
竞争,竞争公平性,付费/时长/运气对竞争结果的影响,Pay-to-Win程度、匹配机制、技能占比
竞争,竞争规模梯度,竞争的参与人数范围（1v1/小队/百人/全服）,社交压力、规模多样性
剧情,叙事能力,故事讲述的完整性与吸引力,剧本质量、叙事手法、情节冲突
剧情,剧情演出质量,剧情表现形式的完成度（过场/对话/环境叙事）,演出投入、配音质量、镜头语言
剧情,剧情分支设计,玩家选择对剧情的影响程度,分支数量、选择的意义、重玩价值
剧情,剧情原创性,故事的创新性与独特性,题材创新、叙事手法、文化融合
破坏,破坏程度,游戏中可破坏元素的范围与深度,可破坏物占比、破坏层次、持久性
破坏,破坏视听反馈,破坏行为的视觉/听觉表现力,粒子效果、音效冲击、屏幕震动
破坏,破坏真实性,破坏效果的物理真实性与合理性,物理引擎、材质差异、连锁反应
情感,角色情感共鸣,玩家对角色遭遇的情感投入,角色塑造深度、情感弧线、代入感
情感,情感调动手法,游戏调动玩家情感的方式（音乐/剧情/演出）,情绪节奏、多感官配合、情感设计
情感,情感类型覆盖,游戏触发的情感类型（喜/悲/惊/治愈）,情感多样性、核心情感定位
情感,情感留存度,游戏结束后情感记忆的持续时间,情感冲击力、记忆点设计
人设,角色个性鲜明度,角色性格特征的辨识度与记忆点,人设符号化、台词风格、行为逻辑
人设,角色设计完整性,角色背景故事与动机的完善程度,人物小传、成长弧线、关系网
人设,角色多样性,角色类型的丰富度（性别/年龄/性格/种族）,代表性、差异化、文化包容
人设,角色视觉辨识度,角色外观的独特性与可识别性,剪影识别、色彩符号、设计语言
设计,系统设计合理性,游戏机制的逻辑自洽与平衡性,规则一致性、数值平衡、循环设计
设计,交互设计易用性,UI/UX的操作便捷性与学习成本,信息架构、操作流程、容错设计
设计,个性化表达空间,玩家自定义与个性展示的自由度,捏脸/装扮/玩法风格/创意工具
设计,无障碍设计,对特殊群体的友好度（色盲/听障/新手）,辅助功能、难度选项、引导设计
收集,收集目标多样性,可收集对象的类型与数量,收集品种类、稀有度分级、主题性
收集,收集完整性奖励,集齐收藏品的奖励设计,完成奖励价值、收集动力
收集,收集随机性程度,收集依赖运气的程度（保底/纯随机/确定性）,抽卡机制、掉落率、保底机制
收集,收集展示系统,收藏品的展示与炫耀机制,图鉴系统、展示空间、社交分享
探索,地图丰富度,场景设计的复杂度与密度,场景数量、结构层次、隐藏要素
探索,探索奖励机制,探索行为的即时与长期回报,奖励的惊喜感、探索成就、秘密区域
探索,探索自由度,玩家探索路线的自主选择空间,线性/半开放/开放世界、解锁机制
探索,探索新鲜感维持,持续探索的动力与惊喜设计,场景差异化、随机事件、环境叙事
团队,协作必要性,游戏对团队配合的依赖程度,单人可玩性、团队加成、角色分工
团队,协作对象类型,合作对象（好友/陌生人/AI/异步）,社交门槛、匹配系统、跨平台
团队,社交功能完善度,游戏内社交工具的丰富性,语音/文字/表情/组队/公会
团队,团队规模适配,游戏支持的团队人数范围,2人/5人/10人+、不同模式适配
休闲,游戏压力程度,游戏的紧张度与放松度,节奏控制、节奏的起伏、时间压力
休闲,碎片时间适配性,单局/单次游戏的时长,暂停友好、存档机制、局时控制
休闲,游戏节奏自主性,玩家对游戏节奏的控制权,暂停/快进/自动战斗、节奏调节
休闲,低投入可玩性,不全神贯注时的游戏体验,放置元素、自动功能、容错率
题材,题材类型定位,题材的明确归类（奇幻/科幻/历史/现代等）,类型识别度、市场定位
题材,题材差异化程度,与市场现有题材的区分度,创新点数量、融合独特性、竞品对比
题材,文化共鸣强度,目标受众的情感连接与文化认同,文化符号、集体记忆、情感触点
题材,题材内容风险,题材的敏感性与审核通过风险,暴力/政治/宗教、分级要求、地区限制
IP,IP类型与适配性,IP是否契合游戏类型（原创/授权/联名/改编）,IP-玩法契合度、粉丝期待管理
IP,IP受众认知度,目标市场对IP的熟悉程度与好感度,品牌知名度、粉丝基础、市场调研
IP,IP授权成本风险,授权费用、合约限制、使用期限,投资回报率、法律风险、续约可能性
IP,IP扩展性潜力,IP可否衍生系列/DLC/周边产品,世界观完整性、叙事空间、商业延展
商业化,付费模式设计,游戏的收费方式（买断/内购/订阅/广告）,模式适配性、用户接受度、市场趋势
商业化,ARPU预期值,单用户平均收入的预测与优化,定价策略、转化率、付费点设计
商业化,用户生命周期价值,玩家长期贡献的收入预期（LTV）,留存率、复购率、付费深度
商业化,成本回收周期,达到盈亏平衡所需的时间,开发成本、推广成本、收入曲线
商业化,可扩展变现空间,DLC/季票/联动活动的持续变现潜力,内容扩展计划、运营节奏、IP联动
技术,技术稳定性,游戏运行的稳定性与bug率,崩溃率、卡顿频率、测试覆盖
技术,跨平台流畅性,不同平台的性能表现一致性,帧数稳定、适配质量、云存档
技术,技术创新性,使用的技术方案的先进性,引擎特性、算法创新、硬件利用
技术,技术扩展性,后续更新与功能添加的技术支持,代码架构、工具链、模块化设计
